Epoch,MIA Forget Acc,MIA Retain Acc,MIA Forget F1,MIA Retain F1,MIA Forget Precision,MIA Retain Precision,MIA Forget Recall,MIA Retain Recall,Train Acc,Val Acc,Test Acc,Forget Acc
0,0.7459375,0.7515625,0.7751659292035398,0.7812328013208586,0.6951884920634921,0.6978859390363815,0.8759375,0.8871875,1.0,0.4455,0.4455,1.0
1,0.6575,0.6734375,0.6720526630760024,0.6920129678750369,0.6446613088404133,0.6547685443390965,0.701875,0.73375,0.99828125,0.432,0.432,0.996875
2,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
3,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
4,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
6,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
7,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
8,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
9,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
10,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
11,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
12,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
13,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
14,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
15,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
16,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
17,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
18,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
19,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
20,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
21,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
22,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
23,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
24,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
25,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
26,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
27,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
28,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
29,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.09984375,0.1005,0.1005,0.1
